GeneID	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	PD_1	PD_2	PD_3	PD_4	PD_5	PD_6	PD_7	PD_8
DMTN	11.61221765	27.25754352	13.88104462	5.611719091	10.88872861	11.93156486	13.2668721	31.73944722	18.55120786	86.85077734	21.10191251	22.82848093	64.79900572	22.38810626
DMWD	18.97606298	23.06407529	9.543218173	4.910254204	25.12783526	0	23.41212723	0	23.85155296	36.18782389	19.23997905	26.7419348	12.64370843	31.34334877
DMXL1	82.13519799	73.3856941	46.84852558	89.08604056	46.06769798	53.69204189	66.3343605	68.01310119	47.70310592	34.3784327	64.23670425	75.00786591	55.3162244	30.22394346
DMXL2	35.6863274	47.17651764	34.70261154	17.53662216	39.36694191	0	19.51010603	92.95123829	37.10241572	19.90330314	31.03222427	74.3556236	58.47715151	16.7910797
DNA2	7.930294978	0	0	1.402929773	7.538350579	0	0	0	0	0	2.172255699	0	0	0
DNAAF1	3.681922669	0	8.675652885	2.805859545	5.025567053	0	0	11.33551687	0	9.046955973	5.275478127	4.565696186	16.59486732	0
DNAAF2	0	2.096734117	0	0	5.025567053	0	9.364850894	0	0	0	1.551611214	4.565696186	0	0
DNAAF4	1.416124103	0	0	0	0	0	11.70606362	4.534206746	0	0	0	5.87018081	0	2.238810626
DNAAF5	6.514170875	22.01570823	0	0.701464886	6.70075607	11.93156486	18.72970179	29.47234385	0	0	11.17160074	9.131392371	0	8.955242506
DNAH1	12.17866729	12.5804047	7.808087596	9.820508408	15.91429567	0	43.7026375	20.40393036	55.65362357	3.618782389	8.068378311	11.08811931	16.59486732	16.7910797
DNAH11	0	2.096734117	8.675652885	0	0	0	31.21616965	0	18.55120786	0	8.378700554	11.74036162	3.160927109	6.716431879
DNAH12	3.681922669	9.435303528	10.41078346	2.805859545	0	0	1.560808482	0	37.10241572	0	1.861933456	1.956726937	15.01440377	12.31345845
DNAH14	4.24837231	6.290202352	3.470261154	4.910254204	20.93986272	0	28.09455268	0	29.15189806	5.428173584	9.309667282	13.69708856	0	5.597026566
DNAH17	16.99348924	10.48367059	19.08643635	4.910254204	5.025567053	103.4068955	7.804042411	45.34206746	7.950517653	9.046955973	5.275478127	1.304484624	6.321854217	1.119405313
DNAH17-AS1	18.97606298	5.241835293	0	6.313183977	0	13.92015901	19.51010603	0	0	0	5.896122612	10.435877	0	0
DNAH2	0	12.5804047	11.27834875	2.104394659	14.23910665	15.90875315	16.38848906	15.86972361	26.50172551	7.237564779	4.344511398	1.956726937	0	0
DNAH3	2.549023386	2.096734117	0	0	8.375945088	0	9.364850894	11.33551687	2.650172551	12.66573836	0.310322243	0	0	14.55226907
DNAH5	0	12.5804047	3.470261154	0	7.538350579	0	10.14525513	0	31.80207061	0	4.344511398	0.652242312	2.370695331	36.94037534
DNAH6	3.398697848	1.048367059	25.15939337	0	6.70075607	0	20.29051027	22.67103373	21.20138041	12.66573836	4.344511398	2.608969249	3.160927109	10.07464782
DNAH7	7.930294978	17.82224	14.7486099	4.910254204	25.96542977	13.92015901	13.2668721	0	18.55120786	52.47234465	8.378700554	18.26278474	4.741390663	14.55226907
